CNES,Nome da UBS,Calendário vacinal afixado em local visível,Há controle de acesso por meio de chave ou senha à área das vacinas,A sala de vacina é utilizada exclusivamente para este fim,Marque quais dos itens abaixo estão FALTANDO na sala de vacina inspecionada,Materiais perfurocortantes são descartados adequadamente,As seringas e agulhas estão em recipientes fechados e limpos,Sala de vacina climatizada,Sala de vacina dispõe de paredes e pisos laváveis e de fácil higienização,O equipamento de refrigeração está susceptível à luz solar direta,Como é registrada a data de abertura do frasco em vacinas multidose,Foi verificada a falta de quais vacinas listadas abaixo,Existem caixas térmicas/isopores sendo utilizadas para outras finalidades,A temperatura interna das caixas térmicas/isopor com vacinas está sendo monitorada continuamente,Tipos de equipamentos utilizados para estocagem das vacinas,Equipamento de armazenamento exclusivo para as vacinas,Tomada elétrica é exclusiva do equipamento,Equipamento mal conservado ou com problemas de funcionamento,Mnutenção dentro da data de validade,Painel de exibição de temperatura funcional,Temperatura interna do equipamento está sendo monitorada por termômetro,Temperatura no painel do equipamento entre 2°C e 8°C,Mecanismo de proteção contra queda de energia,Anotações diárias da temperatura em formulário próprio,Houve alteração anormal da temperatura do equipamento que armazena as vacinas,Como é feito o registro da vacinação,Controle pela ESF do acompanhamento das crianças de 0-1 ano de idade com vacinação em atraso,Agentes da ESF realizaram busca ativa de crianças de 0-1 ano com vacinação em atraso em abril/2023,Quantitativo de crianças de 0-1 ano de idade cadastradas na UBS,Quantitativo de crianças de 0-1 ano de idade com calendário vacinal em atraso em abril/2023,Documentos da última supervisão realizada pela Gestão de saúde municipal nas salas de vacinação,Documentos da última manutenção nos equipamentos de refrigeração,Documentos da designação formal do responsável técnico,Cobertura Vacinal
15,3481883.0,UNIDADE DE SAUDE DA FAMILIA PATRIMONIO FRANCISCO CABRAL,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,1,0,0.933475
16,2428202.0,Sobradinho,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,0.5,1,1,1,1,0.0,0,0,0.804025
17,2428172.0,Queimados,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,0.5,1,1,1,1,0.0,0,0,0.804025
18,984493.0,Araras,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,0.5,0,1,1,1,0.0,0,0,0.804025
19,9401377.0,UBS RENASCER,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.884225
20,2428199.0,Maria Amélia,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,0.5,0,0,1,1,0.0,0,0,0.804025
21,6137008.0,Dorinha Rodrigues,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0.5,1,0.5,1,1,1,0,1.0,0,1,0.912775
22,160385.0,UBS LIBERDADE,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0.5,1,1.0,1,1,1,0,0.0,0,1,0.884225
23,5452864.0,Gildo Marques de Andrade,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,0,1.0,1,1,1,1,1.0,1,1,0.910425
24,2712288.0,Alto da Boa Vista,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1.0,1,1.0,0,0,1,0,1.0,0,1,0.912775
25,5034957.0,UNIDADE DE SAUDE DA FAMILIA GUTEMBERG CRUZ DE SANTANA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,0.8921000000000001
26,2632721.0,Ponto Alegre,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
27,2347121.0,UBS Teto do povo,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1.0,0,1,0.884225
28,2632667.0,Rua Nova,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
29,2435527.0,UNIDADE DE SAUDE DA FAMILIA SANTA LUZIA,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,0,0,0.8921000000000001
30,2435500.0,UNIDADE DE SAUDE DA FAMILIA SANTA MARIA,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,0.8921000000000001
31,6467016.0,Atoleiro,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
33,2347156.0,UBS Bairro Novo,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1.0,1,1.0,1,1,1,0,0.0,0,1,0.884225
34,2435535.0,UNIDADE DE SAUDE DA FAMILIA SAO FRANCISCO DE ASSIS,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,0.8921000000000001
35,5838797.0,Miguel Arraes,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
37,2632705.0,Quati,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
38,3756661.0,UBS Belo Oriente,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,1,1,1,0,1.0,0,1,0.884225
39,2632675.0,Queimada Grande,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,0,1.1151
40,9470808.0,Piador,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
41,9470786.0,Sítio Barriguda,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
42,2347148.0,UBS Acudinho,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.884225
43,2632691.0,Várzea de Dentro,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1.0,0,1.0,1,1,1,0,0.0,0,0,1.1151
44,2632683.0,Várzea Suja,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
45,941190.0,Bastiões,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
46,2712296.0,Frei Caneca,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,1,0.5,1,0,1,0,1.0,0,0,0.912775
47,2315319.0,PSF-1 Posto Benedito Lopes de Lima,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,1,1.0,0,0,1,1,0.0,0,0,0.7582
48,2315327.0,PSF-2 José Gonçalves de Lima,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0.5,1,1.0,0,0,1,0,0.0,0,0,0.7582
49,3496236.0,PSF-3 Nelson Uchôa Barreto,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0.5,0,1.0,0,0,1,1,0.0,0,1,0.7582
50,2356252.0,PSF-4 Campos Frios,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,1,0.0,0,0,0.7582
51,2706717.0,PSF-V Engenho Beleza,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,1,1.0,0,0,1,1,0.0,0,0,0.7582
52,2347555.0,PSF-6 Engenho Limão,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,1,0.0,0,0,0.7582
53,7088760.0,PSF-7 Raquel Gouveia,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,0,1.0,0,0,1,1,0.0,0,0,0.7582
54,2633574.0,UBS Guanumby,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,1.0,0,0,1,0,0.0,0,0,0.965
55,2633604.0,UBS Tanque,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
56,2633639.0,UBS da Seriinha,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,0,1.0,1,0,1,0,0.0,0,0,0.965
57,2633566.0,UBS Amaro,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
58,2633566.0,UBS Amaro (Anexo),0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1.0,0,1.0,1,0,1,0,0.0,0,0,0.965
59,2633663.0,UBS Frei Damião I,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
60,2633582.0,UBS Carneiro,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
61,4022572.0,UBS Frei Damião 3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
62,9015523.0,São José II,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
63,2633655.0,UBS São José,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
64,2633647.0,UBS Vila do Posto I,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
65,9938478.0,UBS Vila do Posto II,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,1,0,1,0,0.0,0,0,0.965
66,2633612.0,UBS Riachão,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
67,3152472.0,Lage Nova,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,0,0,1,0,1.0,0,1,0.912775
68,2713659.0,UBS Oratório,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,0.0,0,1,0.84775
69,2713640.0,Igarapeba,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,0.0,0,1,0.84775
70,2712601.0,Santa Rita,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,0.0,0,1,0.84775
71,3415104.0,UBS Areia Branca,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,0,0.8129249999999999
72,2634031.0,UBS Padre Cícero,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,0,0.8129249999999999
73,3508005.0,UBS Alto da Floresta,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,1,1,0,0.0,0,0,0.8129249999999999
74,2633930.0,UBS Lajes,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,0,0.8129249999999999
75,2703823.0,UBS Boa Vista,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.8129249999999999
76,2633981.0,UBS Agrovila V,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,1,1,0,0.0,0,0,0.8129249999999999
77,2633949.0,UBS Agrovila IV,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,0.0,0,0,0.8129249999999999
78,2633965.0,UBS - Poço do Boi,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,1,0.0,0,0,0.8129249999999999
79,2633922.0,UBS - Campos,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,0.0,0,0,0.8129249999999999
80,2634015.0,UBS - Poço da Cruz,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,0.0,0,0,0.8129249999999999
81,2631989.0,PSF Augusto Ferreira de Almeida,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1.0,0,0,1,0,1.0,1,0,0.964675
82,2631970.0,PSF Mauro André de Oliveira,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.5,0,1.0,0,0,1,0,0.0,1,0,0.964675
83,2631962.0,PSF João  Monteiro,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,1,0,0.964675
84,2632004.0,PSF Catonho,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,0,0,0.964675
85,2631997.0,PSF José Quintino,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,0.964675
86,2632012.0,PSF Nossa Senhora do Rosário,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,0,0.964675
87,6431763.0,Miguel Pedro de Brito,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,1,1,1,1.0,1,0,0.964675
88,6420281.0,José Ramos,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,0,1,0.982225
89,6998402.0,USF CENTRO II,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1.0,0,0.5,0,0,1,1,0.0,0,0,0.8274750000000001
90,3316637.0,Mario Melo,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
91,2704080.0,PSF CENTRO,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,1.0,0,0,1,0,0.0,1,0,0.8274750000000001
92,2429055.0,UNIDADE DE SAUDE DA FAMILIA DA SALGADEIRA,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,1.2798
93,2633140.0,Vila da Cohab,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
94,2429063.0,UNIDADE DE SAUDE DA FAMILIA LOTEAMENTO FIGUEIREDO,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,1.2798
95,2964104.0,UBS VILA SAO BENEDITO,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,0,1.0,0,0,1,1,0.0,0,0,0.8274750000000001
96,2633094.0,13 de maio,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
97,7981589.0,UBS DEUS E FIEL,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1.0,1,1.0,0,0,1,0,0.0,1,0,0.8274750000000001
98,2712458.0,ESF I Dom Elder Câmara,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,0,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
99,2631202.0,PSF INDEPENDENTE,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1.0,0,0,1,1,0.0,1,0,0.8274750000000001
100,2712466.0,ESF II Dom Elder Câmara,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
101,2631210.0,PSF COHAB,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0.5,0,1.0,0,0,1,1,0.0,0,0,0.8274750000000001
102,2712474.0,ESF III Dom Elder Câmara,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
103,7507569.0,Ferro velho/ferro novo,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
104,7284713.0,USF COQUEIRAL,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,0.0,0,0,0.8274750000000001
105,2633108.0,Alto Rio Branco,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
106,2631199.0,PSF SAO JOAO,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,1,1,1,0.0,0,0,0.8274750000000001
107,3726886.0,USF MANOEL DA COSTA TEIXEIRA,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,1,1,1,0,1.0,1,1,0.910425
108,7000065.0,USF CENTRO III,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,0,1.0,0,0,1,0,0.0,0,0,0.8274750000000001
109,2712482.0,ESF IV Tereza Maria da Silva,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
110,3873269.0,ESF V Dr Ricardo Fiuza,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
111,3873277.0,ESF VI Dr Ricardo Fiuza,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
112,234885.0,USF MARIA ZÉLIA,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,1,1,0.910425
113,7511620.0,Cerâmica,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
114,904538.0,Nova Sertânia,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
115,2633124.0,Albuquerque NE,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
116,2703688.0,USF OLHO D'ÁGUA,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,1,1,0.910425
117,2633086.0,Cruzeiro do Nordeste,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
118,2633167.0,Rio da Barra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
119,2703734.0,Caroalina,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
120,2633159.0,Algodões,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
121,2429047.0,UNIDADE DE SAUDE DA FAMILIA LOTEAMENTO LUIZ GONZAGA,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,0,0,1.2798
122,3798127.0,P S F FRANCISCO CORDEIRO,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,1,1.2798
123,2429071.0,UNIDADE DE SAUDE DA FAMILIA ANTONIO B MENESES,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,0,0,1.2798
124,2352346.0,USF II MANSO,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,1,1.0,0,0,0.86555
125,2355035.0,UNIDADE DE SAUDE DA FAMILIA MARACUJA I,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1.0,0,1.0,0,0,1,0,1.0,0,0,1.2798
126,2714876.0,UNIDADE DE SAUDE DA FAMILIA MARACUJA II,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,0,0,1.2798
127,2429012.0,UNIDADE DE SAUDE DA FAMILIA QUEBEC,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,1.2798
